Date,Ticker,Company,PX1,PX2,PX3,PX4,PX5,PX6,PX7,PX8,PX9,PX10,Close,High,Low,Open,Volume,Revenue from Business Activities - Total,Gross Profit - Industrials/Property - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,Cash & Cash Equivalents,Cash & Short-Term Investments,Total Assets,Debt - Total,Common Equity - Total,Net Cash Flow from Operating Activities,"Depreciation, Depletion & Amortization including Impairment - Cash Flow - to Reconcile",Capital Expenditures - Net - Cash Flow,Net Change in Cash - Total,Free Cash Flow Net of Dividends,"Dividend Yield - Common Stock - Net - Issue Specific - %, TTM",EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Shares used to calculate Diluted EPS - Total,Gross Profit Margin - %,EBITDA Margin - %,Operating Margin - %,Income before Tax Margin - %,Income Tax Rate - %,Net Margin - %,"Free Cash Flow Yield - %, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM","Return on Invested Capital - %, TTM",Revenue from Business Activities - Total,Operating Profit before Non-Recurring Income/Expense,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",Income before Discontinued Operations & Extraordinary Items,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,Common Shares - Outstanding - Total,Total Debt Percentage of Total Assets,Total Debt Percentage of Total Capital,Total Debt Percentage of Total Equity,Interest Coverage Ratio,Dividend Coverage - %,Earnings Retention Rate,Dividend Payout Ratio - %,Market Capitalization,Debt - Total,Cash & Short Term Investments - Total,Enterprise Value,"Asset Turnover, TTM","Income before Tax Margin - %, TTM","Pretax ROA - %, TTM","Total Assets to Total Shareholders Equity - including Minority Interest & Hybrid Debt, Average TTM","Pretax ROE - %, TTM","Tax Complement, TTM","Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM","Earnings Retention Rate, TTM","Reinvestment Rate - %, TTM",Current Ratio,Quick Ratio,Working Capital to Total Assets,"Accounts Receivable Turnover, TTM","Average Receivables Collection Days, TTM","Payables Turnover, TTM","Average Payables Payment Days, TTM","Inventory Turnover, TTM","Average Inventory Days, TTM","Average Net Trade Cycle Days, TTM"
2017-01-13,AMGN,Amgen Inc,10.165,16.065,29.215,40.315,55.23,71.725,83.275,89.56,94.34,98.09,121.92159271240234,122.77283505226036,120.96103005021133,121.26559928048265,2637500.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-17,AMGN,Amgen Inc,8.165,15.075,27.215,40.34,54.055,68.325,78.35,83.88,88.29,91.805,120.89071655273438,121.92156140730692,119.89890955340567,121.15623593324214,3404900.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-18,AMGN,Amgen Inc,10.155,16.055,29.205,40.305,54.075,71.26,83.275,89.845,94.935,98.895,121.64823913574219,121.78099882850258,120.66423730562079,121.58576188332833,2432600.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-19,AMGN,Amgen Inc,10.455,16.365,29.025,40.32,53.865,70.24,81.705,88.0,92.91,96.76,120.10977935791016,121.58577028881322,119.68025566556942,121.14844140800021,2571900.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-20,AMGN,Amgen Inc,11.665,17.575,28.2,39.315,54.01,68.02,77.845,83.295,87.66,91.155,120.78922271728516,121.32027354052637,120.12542408363427,120.8204673096455,3067400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-23,AMGN,Amgen Inc,10.165,16.07,29.215,40.315,54.12,71.285,83.28,89.855,94.95,98.925,119.26638793945312,120.69552431037982,119.0164788419631,120.43000483153791,2458200.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-24,AMGN,Amgen Inc,9.165,17.07,29.055,40.455,53.81,67.355,76.85,82.15,86.43,89.88,118.58692169189453,119.4850068461064,117.43892753555795,119.34444196964907,3027700.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-25,AMGN,Amgen Inc,9.16,17.075,28.2,40.315,52.815,66.365,75.86,81.185,85.49,88.96,120.34406280517578,120.90634618409983,118.52445297009076,119.11796901836927,3479500.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-26,AMGN,Amgen Inc,9.165,16.08,28.215,40.33,52.58,70.09,82.295,89.055,94.305,98.4,119.46941375732422,121.67169269068104,119.4069364915212,121.04693194897074,3366900.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-27,AMGN,Amgen Inc,9.17,17.08,28.205,40.325,52.59,66.28,75.86,81.275,85.65,89.19,122.7337875366211,122.99930699020683,119.29760927091189,119.66465577523593,4885200.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-30,AMGN,Amgen Inc,9.355,16.89,28.395,40.32,53.175,67.57,77.635,83.285,87.825,91.455,120.60172271728516,122.74932844934544,120.08630639798916,122.68686313258706,3758400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-01-31,AMGN,Amgen Inc,10.165,16.07,29.215,40.315,55.05,71.675,83.275,89.685,94.7,98.635,122.35889434814453,122.57757069294787,119.60214959529753,120.0316732642222,3351300.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-01,AMGN,Amgen Inc,9.595,16.07,28.075,40.32,53.36,68.51,79.1,85.03,89.75,93.515,124.69393920898438,124.75641646565462,122.6478596973861,123.8505141184133,3924800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-02,AMGN,Amgen Inc,9.46,16.135,27.405,40.21,52.815,67.14,77.15,82.8,87.34,90.98,124.6236572265625,124.90479892446338,122.53852793226369,124.74079463555525,4445400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-03,AMGN,Amgen Inc,8.17,15.08,26.205,38.325,50.46,63.66,72.895,78.175,82.495,86.01,130.8321990966797,131.082108141386,128.7470696597278,129.71544933348608,7366600.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-06,AMGN,Amgen Inc,8.335,15.25,26.375,37.525,49.99,64.02,73.82,79.415,83.94,87.6,130.09031677246094,130.33240874120187,128.9579445774646,129.7779304286657,4389200.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-07,AMGN,Amgen Inc,8.58,15.07,26.195,37.31,49.71,64.355,74.585,80.405,85.085,88.85,130.2777099609375,130.98055817257276,129.3249527483458,130.41827483673774,3584300.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-08,AMGN,Amgen Inc,8.685,14.59,25.72,36.835,48.51,63.48,73.93,79.895,84.685,88.525,131.2929229736328,131.4725495236456,129.88722665243677,130.02779151802991,3493400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-09,AMGN,Amgen Inc,8.18,14.08,24.765,35.52,47.82,62.14,72.145,77.89,82.545,86.305,130.78533935546875,131.03523647473327,129.24687111457587,129.44210808000574,4281400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-10,AMGN,Amgen Inc,7.36,13.205,24.155,34.325,46.325,59.12,68.06,73.285,77.6,81.15,131.11334228515625,131.4413389727747,130.44172661537016,131.04305983416359,2931200.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-13,AMGN,Amgen Inc,7.615,13.525,23.645,34.31,45.41,59.69,69.66,75.45,80.155,83.97,131.8367462158203,132.30853936266675,131.06613034518224,131.88392433065462,3602800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-14,AMGN,Amgen Inc,7.795,13.57,23.58,34.215,45.605,59.555,69.3,74.96,79.575,83.33,132.14340209960938,132.15913213573856,130.19329756715914,131.3727983083068,3116700.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-15,AMGN,Amgen Inc,8.935,14.235,23.875,33.985,45.405,61.71,73.07,79.59,84.775,88.915,135.08432006835938,135.24945549685484,131.31778527892303,131.56941793215321,4058800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-16,AMGN,Amgen Inc,7.655,13.43,22.715,33.54,44.435,57.235,66.175,71.455,75.845,79.465,135.33595275878906,135.38313088165637,133.9126900592674,134.90346663499662,2660600.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-17,AMGN,Amgen Inc,7.665,13.45,22.755,33.605,44.52,57.35,66.305,71.595,75.985,79.6,136.26380920410156,136.3188583416157,132.80394451462826,134.73833137184116,4154900.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-21,AMGN,Amgen Inc,7.36,13.24,22.53,33.49,44.54,57.07,65.82,70.99,75.285,78.81,136.1458740234375,136.42895475531958,135.13936742085792,135.91784243315993,3941200.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-22,AMGN,Amgen Inc,8.085,13.21,22.915,33.305,44.22,59.03,69.35,75.38,80.245,84.16,135.72911071777344,137.37254587994377,135.162949284159,135.50893816009054,2579800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-23,AMGN,Amgen Inc,7.695,13.08,22.715,32.83,42.94,57.735,68.035,74.08,78.965,82.9,136.82997131347656,136.82997131347656,135.16294711816184,135.8391948197808,2190800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-24,AMGN,Amgen Inc,7.885,12.79,22.63,32.01,42.805,58.235,68.97,75.445,80.315,84.1,137.26243591308594,137.3882522096219,135.62686005362585,136.26378855689828,2677300.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-27,AMGN,Amgen Inc,7.645,13.155,22.36,31.68,42.435,58.635,69.9,76.675,81.735,85.65,138.4970703125,138.6071566394989,136.59414266094205,136.98730982858237,2850700.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-02-28,AMGN,Amgen Inc,7.075,12.735,21.835,31.285,41.98,57.055,67.545,73.91,78.72,82.485,138.81153869628906,140.1640341228811,137.9387074849245,137.97016756377798,3370400.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-03-01,AMGN,Amgen Inc,7.155,12.07,21.9,30.56,41.125,56.52,67.225,73.735,78.645,82.475,140.1561737060547,141.28848456490465,138.20605678572022,139.9674492303275,3532300.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-03-02,AMGN,Amgen Inc,7.155,12.075,21.845,30.625,41.345,56.485,67.015,73.42,78.26,82.035,140.02252197265625,140.64372064573982,139.039604326412,139.7473002323053,3493000.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
2017-03-03,AMGN,Amgen Inc,7.145,12.065,21.21,30.655,40.75,55.77,66.215,72.58,77.405,81.18,141.6973876953125,141.95687936116724,139.6136073462584,140.3291741825392,2893800.0,5811.0,4784.0,2527.0,3030.0,2017.0,3485.0,37980.0,78150.0,35323.0,30773.0,2662.0,503.0,67.0,855.0,1748.0,2.4,2.68,753.0,82.33,52.14,43.49,41.61,16.58,34.71,6.81,25.83,10.11,13.71,5811.0,2527.0,3030.0,2017.0,2.68,744.8,45.2,53.44,114.79,7.78,270.81,0.63,36.93,124834.08,35323.0,37980.0,122177.08,0.3,38.97,11.72,2.55,29.94,0.86,25.83,0.61,15.7,4.35,4.09,0.45,7.41,49.37,4.4,83.11,1.6,228.95,195.21
